ZIP,total_evs,total_charging_stations,median_income,evs_per_station
98672,311.0,2.0,66.40602837,103.66666666666667
98333,308.0,0.0,117.1873626,308.0
98408,305.0,2.0,41.17007874,101.66666666666667
98626,301.0,2.0,47.87061184,100.33333333333333
98249,295.0,1.0,76.98054475,147.5
98902,290.0,4.0,38.26648707,58.0
98327,282.0,2.0,66.85026316,94.0
98390,276.0,4.0,57.01577123,55.2
98520,275.0,10.0,45.80564226,25.0
98403,272.0,3.0,76.85949367,68.0
98360,272.0,0.0,60.93373083,272.0
99004,271.0,1.0,47.14540466,135.5
99202,268.0,17.0,38.20382916,14.88888888888889
98363,268.0,3.0,48.60865385,67.0
98365,266.0,2.0,88.13982684,88.66666666666667
99216,263.0,7.0,42.49844322,32.875
98528,262.0,1.0,55.3761488,131.0
98816,249.0,5.0,56.28785311,41.5
98388,244.0,1.0,71.32154341,122.0
99037,239.0,2.0,62.84655172,79.66666666666667
98569,237.0,3.0,45.83816794,59.25
98252,234.0,1.0,57.91979695,117.0
98402,233.0,28.0,58.52737643,8.03448275862069
99005,232.0,1.0,83.84643735,116.0
99201,232.0,17.0,43.73965517,12.88888888888889
98446,226.0,0.0,55.68333333,226.0
98328,223.0,0.0,61.12352941,223.0
98580,219.0,0.0,58.36338384,219.0
98901,214.0,17.0,42.43466312,11.88888888888889
99217,203.0,1.0,48.6212963,101.5
98465,199.0,1.0,56.46595745,99.5
98625,198.0,1.0,64.02517483,99.0
99218,197.0,16.0,56.66458685,11.588235294117647
98579,196.0,3.0,50.37059891,49.0
98261,193.0,4.0,80.18145161,38.6
98942,189.0,1.0,67.04607465,94.5
99207,184.0,6.0,31.07679871,26.285714285714285
98903,178.0,15.0,56.67639939,11.125
98232,175.0,1.0,76.29894737,87.5
98354,174.0,0.0,56.94922049,174.0
99026,174.0,1.0,67.04326923,87.0
98848,174.0,6.0,46.56208251,24.857142857142858
98359,173.0,0.0,64.27822222,173.0
98433,172.0,2.0,30.88650218,57.333333333333336
98439,164.0,0.0,30.39811321,164.0
98418,162.0,2.0,40.17158837,54.0
98862,159.0,6.0,65.9872,22.714285714285715
98051,155.0,0.0,80.64971098,155.0
98257,150.0,2.0,64.87512438,50.0
98337,150.0,9.0,41.49023569,15.0
98380,146.0,0.0,71.08277311,146.0
98349,144.0,0.0,53.70209424,144.0
98251,139.0,0.0,46.95577889,139.0
98611,137.0,0.0,54.57222222,137.0
98589,137.0,6.0,54.08779762,19.571428571428573
98524,135.0,0.0,63.71011905,135.0
98253,134.0,1.0,77.79673913,67.0
99021,134.0,1.0,60.36940639,67.0
98563,133.0,1.0,57.01818182,66.5
99320,128.0,1.0,56.5754386,64.0
99006,128.0,2.0,50.53280318,42.666666666666664
98823,125.0,0.0,50.8899177,125.0
